mode,datetime
chrono,2024-06-28T11:29:19.326Z
sansChrono,2024-06-28T11:29:28.485Z
chrono,2024-06-28T11:29:37.964Z
sansChrono,2024-06-28T11:29:40.594Z
sansChrono,2024-06-28T11:29:45.363Z
sansChrono,2024-06-28T11:34:27.831Z
sansChrono,2024-06-28T11:29:49.994Z
sansChrono,2024-06-28T11:30:00.657Z
sansChrono,2024-06-28T11:30:13.255Z
sansChrono,2024-06-28T11:30:15.836Z
sansChrono,2024-06-28T11:30:14.802Z
chrono,2024-06-28T11:30:39.155Z
sansChrono,2024-06-28T11:30:50.304Z
sansChrono,2024-06-28T11:30:53.448Z
chrono,2024-06-28T11:30:56.364Z
sansChrono,2024-06-28T11:31:00.307Z
sansChrono,2024-06-28T11:31:08.877Z
sansChrono,2024-06-28T11:31:10.094Z
chrono,2024-06-28T11:31:11.603Z
sansChrono,2024-06-28T11:31:12.816Z
sansChrono,2024-06-28T11:31:13.481Z
chrono,2024-06-28T11:31:21.669Z
sansChrono,2024-06-28T11:31:24.433Z
sansChrono,2024-06-28T11:31:26.260Z
sansChrono,2024-06-28T11:31:27.625Z
sansChrono,2024-06-28T11:31:30.244Z
sansChrono,2024-06-28T11:31:40.622Z
chrono,2024-06-28T11:31:51.786Z
sansChrono,2024-06-28T11:31:59.909Z
sansChrono,2024-06-28T11:32:10.179Z
chrono,2024-06-28T11:32:20.674Z
sansChrono,2024-06-28T11:32:30.648Z
sansChrono,2024-06-28T11:32:31.864Z
sansChrono,2024-06-28T11:32:36.809Z
sansChrono,2024-06-28T11:32:54.529Z
sansChrono,2024-06-28T11:32:58.110Z
chrono,2024-06-28T11:33:07.906Z
sansChrono,2024-06-28T11:33:09.544Z
sansChrono,2024-06-28T11:33:12.253Z
sansChrono,2024-06-28T11:33:11.770Z
sansChrono,2024-06-28T11:33:27.117Z
chrono,2024-06-28T11:33:48.000Z
sansChrono,2024-06-28T11:33:50.397Z
sansChrono,2024-06-28T11:33:49.071Z
chrono,2024-06-28T11:33:56.074Z
sansChrono,2024-06-28T11:33:54.918Z
sansChrono,2024-06-28T11:33:58.526Z
chrono,2024-06-28T11:30:51.284Z
sansChrono,2024-06-28T11:34:03.966Z
chrono,2024-06-28T11:34:05.819Z
chrono,2024-06-28T11:34:13.974Z
chrono,2024-06-28T11:34:12.147Z
chrono,2024-06-28T11:34:25.134Z
chrono,2024-06-28T11:34:31.719Z
chrono,2024-06-28T11:34:53.827Z
sansChrono,2024-06-28T11:35:02.710Z
sansChrono,2024-06-28T11:35:08.076Z
sansChrono,2024-06-28T11:35:21.328Z
sansChrono,2024-06-28T11:35:26.623Z
sansChrono,2024-06-28T11:35:27.320Z
chrono,2024-06-28T11:35:41.848Z
sansChrono,2024-06-28T11:35:48.699Z
sansChrono,2024-06-28T11:36:04.784Z
